Confirmation Number,Order Number,Date,Type,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Alt Security,Alt Units
1110003,RMG rights CS 1,1/11/2010,P,RMG,63334,0.01,,633.34,,
1110004,RMG 33 to 1 NW,15/9/2014,C,RMG,151667,,,,,4595
1110005,RMG 33 to 1 CS,15/9/2014,C,RMG,443334,,,,,13434
1110006,CXY 2 MRV CS 1,11/10/2013,N,CXY,220000,,,,MRV,
1110007,CXY 2 MRV NW 1,11/10/2013,N,CXY,160000,,,,MRV,
1110008,SRT 2 IAM 1,25/8/2016,N,SRT,360000,,,,IAM,
1110009,WHN 10 to 1 NW,4/12/2014,C,WHN,290000,,,,,29000
1110010,WHN 83 to 1 NW,12/12/2016,C,WHN,29000,,,,,350
1110011,MNC 50 to 1 NW,22/12/2016,C,MNC,430000,,,,,8600
1110012,NRU 20 to 1 NW 1,22/6/2015,C,NRU,400000,,,,,20000
1110013,NRU 20 to 1 CS 1,22/6/2015,C,NRU,325000,,,,,16250
1110014,NRU 2 CZL CS 1,23/6/2015,N,NRU,20000,,,,CZL,
1110015,NRU 2 CZL NW 1,23/6/2015,N,NRU,16250,,,,CZL,
1110016,MEO 2 MAY 1,8/11/2016,N,MEO,7000,,,,MAY,
1110017,MLSOA lapsed,31/12/2010,L,MLSOA,400000,,,,,
1110018,GSEO exc CS 1,6/11/2007,O,GSEO,100000,0.05,,5000,GSE,
1110019,GSEO exc NW 1,6/11/2007,O,GSEO,120000,0.05,,6000,GSE,
1110020,PIE 2 NWZ,20/8/2014,N,PIE,100000,,,,NWZ,
1110021,PIE 30 to 1,23/10/2012,C,PIE,112500,,,,,3750
1110022,RXLOA exc 1,11/07/2011,O,RXLOA,290000,0.015,,4350,RXL,
1110023,GDNO exc 1,27/6/2007,O,GDNO,101000,0.30,,30300,GDN,
1110024,GTE options offer 1,14/8/2007,P,GTEO,30284,0.00125,,37.85,,
1110025,GTE entitlement 1,21/5/2008,P,GTE,30284,0.02,,605.68,,
1110026,CDB 30 to 1,2/7/2015,C,CDB,620000,,,,,20667
1110027,GRM 20 to 1,6/6/2012,C,GRM,400000,,,,,20000
1110028,GRM 2 AMN 1,17/12/2014,N,GRM,20000,,,,AMN,
1110029,ADY 5 to 1,2/12/2010,C,ADY,19500,,,,,3900
1110030,ABU 15 to 1,1/7/2014,C,ABU,65000,,,,,4334
1110031,AVBOB exc 1,23/4/2012,O,AVBOB,42000,0.015,,630.00,AVB,
1110032,AHZ 10 to 1,27/11/2015,C,AHZ,37000,,,,,3700
1110033,QMNO Lapsed 1,1/1/2015,L,QMNO,100000,,,,,
1110034,NMR 2 WKT 1,15/4/2013,N,NMR,70000,,,,WKT,
1110035,WKT 23 to 1,1/12/2016,C,WKT,70000,,,,,3044
1110036,URA SPP 1,29/3/2007,P,URA,11131,0.449168,,5000,,
1110037,KAL 2 MAT 1,13/1/2009,N,KAL,24500,,,,MAT,
1110038,KALO 2 MATO 1,13/1/2009,N,KALO,64000,,,,MATO,
1110039,CTR 100 to 1,5/5/2015,C,CTR,515000,,,,,5150
1110040,CTR top up 1,5/11/2015,P,CTR,4850,0.05,,242.50,,
1110041,WPI 2 CIZ 1,18/3/2016,N,WPI,90000,,,,CIZ,
1110042,BLRO exc 1,15/2/2011,O,BLRO,48000,0.045,,2160.00,BLR,
1110043,WCUO lapsed,29/1/2010,L,WCUO,560000,,,,,
1110044,JMSO exc 1,8/2/2007,O,JSMO,57000,0.20,,11400,JSM,
1110045,JMS Delisted,10/1/2014,D,JMS,57000,,,,,
1110046,ROBO 40 to 1,18/12/2012,C,ROBO,500000,,,,,12500
1110047,ROBO lapsed,31/12/2014,L,ROBO,12500,,,,,
